molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class
CHEMBL1549641,CCOc1cc(/C=C2\C(=O)N(c3ccc(C(N)=O)cc3)N=C2C)ccc1OC(=O)c1cccs1,1930.0,1930.0,1930.0,5.714442690992226,intermediate
CHEMBL1347369,COc1ccccc1-n1nnnc1S(=O)(=O)Cc1ccc(Cl)cc1,1940.0,1940.0,1940.0,5.7121982700697735,intermediate
CHEMBL1414479,O=C(O)c1ccccc1Nc1cc(Cl)c2nonc2c1[N+](=O)[O-],1940.0,1940.0,1940.0,5.7121982700697735,intermediate
CHEMBL1559810,COC(=O)c1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,1940.0,1940.0,1940.0,5.7121982700697735,intermediate
CHEMBL1567571,CC(=O)C1=C(c2ccc(Br)cc2)C(=O)c2ccccc2C1=O,1940.0,1940.0,1940.0,5.7121982700697735,intermediate
CHEMBL3212615,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccncc1,1940.0,1940.0,1940.0,5.7121982700697735,intermediate
CHEMBL1345195,O=C1/C(=C\c2cccc(O)c2O)SC(=S)N1Cc1ccccc1,1950.0,1950.0,1950.0,5.709965388637482,intermediate
CHEMBL1570497,CCC(CNc1cc(OC)cc2cccnc12)NC1CCCCC1,1950.0,1950.0,1950.0,5.709965388637482,intermediate
CHEMBL1483252,Cc1ccc(C(c2cc(Cl)c3cccnc3c2O)N2CCN(C)CC2)cc1,1960.0,1960.0,1960.0,5.707743928643524,intermediate
CHEMBL1430882,O=[N+]([O-])c1cc([N+](=O)[O-])c2c(Nc3ccccc3)n(-c3ccccc3)[n+]([O-])c2c1,1970.0,1970.0,1970.0,5.7055337738384075,intermediate
CHEMBL1478634,CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)N(Cc1ccco1)C(=O)CCl,1970.0,1970.0,1970.0,5.7055337738384075,intermediate
CHEMBL1404559,CCCC(=O)OCCNc1cc(SCc2ccco2)c2nonc2c1[N+](=O)[O-],1980.0,1980.0,1980.0,5.703334809738469,intermediate
CHEMBL1518895,CC1=NN(c2ccc(C(=O)O)c(N)c2)C(=O)C1,1980.0,1980.0,1980.0,5.703334809738469,intermediate
CHEMBL1706657,COC(=O)Cc1n[nH]c2c1C1(CCSCC1)C(C#N)=C(N)O2,1990.0,1990.0,1990.0,5.701146923590294,intermediate
CHEMBL1719459,Oc1nc(Nc2ccccc2Cl)cc2ccccc12,1990.0,1990.0,1990.0,5.701146923590294,intermediate
CHEMBL1979747,Cc1c(/C=N/Nc2nc3ccccc3[nH]2)c2ccccc2n1C,1990.0,1990.0,1990.0,5.701146923590294,intermediate
CHEMBL3195106,C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,1990.0,1990.0,1990.0,5.701146923590294,intermediate
CHEMBL1305642,CC(C)c1ccc(/C=C(\c2nc3ccccc3[nH]2)S(=O)(=O)c2ccccc2)cc1,2010.0,2010.0,2010.0,5.696803942579511,intermediate
CHEMBL1507776,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,2010.0,2010.0,2010.0,5.696803942579511,intermediate
CHEMBL1538410,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccn2)c([N+](=O)[O-])c1,2010.0,2010.0,2010.0,5.696803942579511,intermediate
CHEMBL1339794,N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1cccs1,2020.0,2020.0,2020.0,5.694648630553376,intermediate
CHEMBL1491019,COc1ccc(C(=O)c2c(C(F)(F)F)oc3c2C(=O)c2ccccc2C3=O)cc1OC,2020.0,2020.0,2020.0,5.694648630553376,intermediate
CHEMBL3145078,Cc1[nH]n(C(C)(C)C)c(=O)c1Sc1ccccc1,2020.0,2020.0,2020.0,5.694648630553376,intermediate
CHEMBL1352007,Cc1n[nH]c2c1C(c1c[nH]c3ccccc13)C(C#N)=C(N)O2,2030.0,2030.0,2030.0,5.692503962086787,intermediate
CHEMBL1443448,O=C(CCl)Nc1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl,2030.0,2030.0,2030.0,5.692503962086787,intermediate
CHEMBL1466516,O=C1Cc2ccccc2C(=O)N1Cc1ccccc1,2040.0,2040.0,2040.0,5.690369832574101,intermediate
CHEMBL1581068,COc1cc(OC)cc(-c2nnc(Sc3ccc(C=O)cc3[N+](=O)[O-])o2)c1,2040.0,2040.0,2040.0,5.690369832574101,intermediate
CHEMBL1484906,COc1cc(C2C(C#N)=C(N)Oc3[nH]nc(-c4cccnc4)c32)cc(Br)c1O,2060.0,2060.0,2060.0,5.686132779630847,intermediate
CHEMBL604321,CCCNC1=C(N(C(C)=O)c2cccc(F)c2)C(=O)c2ccccc2C1=O,2060.0,2060.0,2060.0,5.686132779630847,intermediate
CHEMBL1546213,CCCc1n[nH]c2c1C(c1ccccc1OC)C(C#N)=C(N)O2,2070.0,2070.0,2070.0,5.684029654543082,intermediate
CHEMBL1489956,Oc1ccc(O)c2c1C1c3ccccc3C2c2ccccc21,2080.0,2080.0,2080.0,5.681936665037238,intermediate
CHEMBL1548704,CCN(CC)c1ccc(/C=C2\C(=O)N(c3nnc(C)c(O)n3)N=C2C)cc1,2080.0,2080.0,2080.0,5.681936665037238,intermediate
CHEMBL1334552,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1Cl,2090.0,2090.0,2090.0,5.679853713888946,intermediate
CHEMBL1525505,COC(CN(C(=O)CCl)C(C(=O)NC1CCCC(C)C1C)c1ccc(C)cc1)OC,2110.0,2110.0,2110.0,5.675717544702307,intermediate
CHEMBL1541950,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Br)cc1,2110.0,2110.0,2110.0,5.675717544702307,intermediate
CHEMBL1349651,COc1cc(OC)cc(C2C(C#N)=C(N)Oc3[nH]nc(-c4cccnc4)c32)c1,2130.0,2130.0,2130.0,5.671620396561263,intermediate
CHEMBL1456225,CC(C)CC1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,2130.0,2130.0,2130.0,5.671620396561263,intermediate
CHEMBL1987742,COC1=CC(=O)C(O)=C(CCCCCCC/C=C/CCCCCCCC2=C(O)C(=O)C=C(OC)C2=O)C1=O,2130.0,2130.0,2130.0,5.671620396561263,intermediate
CHEMBL1700040,CC(=O)c1cccc(-c2ccc3c(O)nc(Nc4ccccc4)cc3c2)c1,2140.0,2140.0,2140.0,5.669586226650809,intermediate
CHEMBL1383240,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)C1,2150.0,2150.0,2150.0,5.667561540084394,intermediate
CHEMBL1505544,COc1ccc(CN2C(=O)Cc3ccccc3C2=O)cc1,2160.0,2160.0,2160.0,5.665546248849069,intermediate
CHEMBL1611106,O=C(CCl)N1N=C(c2ccco2)CC1c1cccs1,2160.0,2160.0,2160.0,5.665546248849069,intermediate
CHEMBL1308783,O=C1C(Cl)=C(NCc2cccnc2)C(=O)c2ccccc21,2170.0,2170.0,2170.0,5.66354026615147,intermediate
CHEMBL1433075,CCCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,2170.0,2170.0,2170.0,5.66354026615147,intermediate
CHEMBL1335953,CC(=O)N(C1=C(N)C(=O)c2ccccc2C1=O)c1ccccc1,2180.0,2180.0,2180.0,5.661543506395395,intermediate
CHEMBL1571875,O=C(CCl)Nc1ccc(N=Nc2ccccc2)cc1,2180.0,2180.0,2180.0,5.661543506395395,intermediate
CHEMBL1375884,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3ccc(F)cc3)n2)c1,2190.0,2190.0,2190.0,5.6595558851598815,intermediate
CHEMBL578905,O=C1C(Nc2ccccc2)=C(N2CCCCC2)C(=O)c2ccccc21,2210.0,2210.0,2210.0,5.655607726314889,intermediate
CHEMBL1271764,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,2220.0,2220.0,2220.0,5.653647025549361,intermediate
CHEMBL1463885,O=S(=O)(CCSc1nc2ccccc2s1)c1nc2ccccc2s1,2220.0,2220.0,2220.0,5.653647025549361,intermediate
CHEMBL1521427,CC1=NN(Cc2ccccc2)C(=O)C1C(c1ccccc1)C(C#N)C#N,2220.0,2220.0,2220.0,5.653647025549361,intermediate
CHEMBL1549114,Cc1cc2c3c(c1)C(C)CC(C)(C)N3C(=O)C2=C(C#N)C#N,2220.0,2220.0,2220.0,5.653647025549361,intermediate
CHEMBL1435915,Cc1ccc(NC(=O)c2cnc(SCC(=O)NCC3CCCO3)n(C)c2=O)cc1C,2230.0,2230.0,2230.0,5.651695136951839,intermediate
CHEMBL1460342,CC1(C)CC(=O)C(C2(O)C(=O)NC(=O)NC2=O)=C(O)C1,2230.0,2230.0,2230.0,5.651695136951839,intermediate
CHEMBL3145033,Cc1cc(=O)n(CCCc2ccccc2)[nH]1,2230.0,2230.0,2230.0,5.651695136951839,intermediate
CHEMBL1344573,Cc1n[nH]c2c1C(c1ccoc1)C(C#N)=C(N)O2,2250.0,2250.0,2250.0,5.647817481888637,intermediate
CHEMBL3144830,CCOC(=O)c1ccc(-n2[nH]c(-c3ccccc3)cc2=O)cc1,2250.0,2250.0,2250.0,5.647817481888637,intermediate
CHEMBL3145071,COc1cccc(C(C[N+](=O)[O-])c2c(C)[nH]n(-c3ccccc3)c2=O)c1,2250.0,2250.0,2250.0,5.647817481888637,intermediate
CHEMBL3196491,Cc1ccc(C)c(S(=O)(=O)/N=C2\C=C(NS(=O)(=O)c3ccccc3)C(=O)c3ccccc32)c1,2250.0,2250.0,2250.0,5.647817481888637,intermediate
CHEMBL1415772,COc1ccc(-c2[nH]nc3c2C(c2ccncc2)C(C#N)=C(N)O3)cc1,2260.0,2260.0,2260.0,5.645891560852599,intermediate
CHEMBL1546217,COCc1n[nH]c2c1C1(CCSCC1)C(C#N)=C(N)O2,2260.0,2260.0,2260.0,5.645891560852599,intermediate
CHEMBL1597748,Cc1c(OCC(=O)Nc2cccnc2)ccc2c3c(c(=O)oc12)CCC3,2260.0,2260.0,2260.0,5.645891560852599,intermediate
CHEMBL600175,O=C(O)c1cccc(NC2=C(n3nnc4ccccc43)C(=O)c3ccccc3C2=O)c1,2260.0,2260.0,2260.0,5.645891560852599,intermediate
CHEMBL1399536,Fc1ccc(Oc2nc(-c3ccccc3)nnc2C(F)(F)F)cc1,2280.0,2280.0,2280.0,5.642065152999546,intermediate
CHEMBL1420488,CCCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,2280.0,2280.0,2280.0,5.642065152999546,intermediate
CHEMBL1519108,CC(=O)N1C(=O)C2(C(C#N)=C(N)Oc3c2c(C)nn3-c2ccccc2)c2ccccc21,2280.0,2280.0,2280.0,5.642065152999546,intermediate
CHEMBL1347897,COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1Br,2300.0,2300.0,2300.0,5.638272163982407,intermediate
CHEMBL1336010,CC(C)(C)c1[nH]nc2c1C(Cc1ccccc1)C(C#N)=C(N)O2,2310.0,2310.0,2310.0,5.636388020107855,intermediate
CHEMBL1382562,Cc1cc(C)c(C(CC(=O)c2cccs2)C(C#N)C#N)c(C)c1,2310.0,2310.0,2310.0,5.636388020107855,intermediate
CHEMBL1574609,CN1CCc2nc(SCC(=O)Nc3ccc(OC(F)(F)F)cc3)c(C#N)c(-c3cccs3)c2C1,2330.0,2330.0,2330.0,5.632644078973981,intermediate
CHEMBL1464786,Cc1ccc(Nc2cc(C)nc3c(C)ccc([N+](=O)[O-])c23)cc1,2340.0,2340.0,2340.0,5.630784142589857,intermediate
CHEMBL3194086,O=C1C=C(Nc2ccccc2C(=O)O)c2ccccc2C1=O,2340.0,2340.0,2340.0,5.630784142589857,intermediate
CHEMBL1345808,Cc1ccc(N2C(=O)C(Cl)=C(N3CCN(C)CC3)C2=O)c(C)c1,2350.0,2350.0,2350.0,5.628932137728263,intermediate
CHEMBL1391217,CCCCNC1C(CC)C(CCC)C(C#N)(C#N)C1(C#N)C#N,2360.0,2360.0,2360.0,5.627087997029893,intermediate
CHEMBL1448321,O=C(CCl)N(CCc1ccccc1)CCc1ccccc1,2360.0,2360.0,2360.0,5.627087997029893,intermediate
CHEMBL1970242,CCOC(=O)C/C(C)=N/NC(=O)COc1ccccc1C,2360.0,2360.0,2360.0,5.627087997029893,intermediate
CHEMBL3210650,CCC(=O)N/N=C(\C)CC(=O)Nc1cccc([N+](=O)[O-])c1,2360.0,2360.0,2360.0,5.627087997029893,intermediate
CHEMBL1497838,CNc1ccc2nc3ccccc3[n+](C)c2c1.[O-][Cl+3]([O-])([O-])[O-],2370.0,2370.0,2370.0,5.625251653989896,intermediate
CHEMBL1571825,CCc1cccc(NC(=O)CSCc2cc(O)[nH]n2)c1,2370.0,2370.0,2370.0,5.625251653989896,intermediate
CHEMBL1402869,O=C(CCl)N(Cc1cc(O)nc2ccccc12)c1ccccc1,2380.0,2380.0,2380.0,5.623423042943488,intermediate
CHEMBL1420007,N#CC(C#N)=C(Nc1ccc(F)cc1)SCc1cccc(Br)c1,2380.0,2380.0,2380.0,5.623423042943488,intermediate
CHEMBL1485159,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],2380.0,2380.0,2380.0,5.623423042943488,intermediate
CHEMBL1313206,CCOC(=O)c1c(CC(C)C)csc1NC(=O)CCl,2390.0,2390.0,2390.0,5.621602099051863,intermediate
CHEMBL1458150,CCCc1n[nH]c2c1C(c1ccoc1)C(C#N)=C(N)O2,2390.0,2390.0,2390.0,5.621602099051863,intermediate
CHEMBL1564699,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc2c1O,2390.0,2390.0,2390.0,5.621602099051863,intermediate
CHEMBL1443679,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)C)cc1,2400.0,2400.0,2400.0,5.619788758288394,intermediate
CHEMBL1347334,COc1cc(/C=C(\C#N)c2nc3ccccc3o2)ccc1O,2410.0,2410.0,2410.0,5.617982957425132,intermediate
CHEMBL1378952,CN1CCN(C(c2ccc(Cl)cc2)c2cc(Cl)c3cccnc3c2O)CC1,2420.0,2420.0,2420.0,5.616184634019569,intermediate
CHEMBL1485746,Cc1ccc(SCc2n[nH]c3c2C2(CCSCC2)C(C#N)=C(N)O3)cc1,2420.0,2420.0,2420.0,5.616184634019569,intermediate
CHEMBL3144828,COc1ccc(-c2cc(=O)n(-c3ccc([N+](=O)[O-])cc3)[nH]2)cc1,2420.0,2420.0,2420.0,5.616184634019569,intermediate
CHEMBL1300967,COc1ccc(Nc2oc(COc3ccccc3F)nc2C#N)cc1,2440.0,2440.0,2440.0,5.61261017366127,intermediate
CHEMBL1392791,COC(=O)c1sc(-c2ccc(Cl)cc2)cc1NC(=O)/C=C/C(=O)O,2440.0,2440.0,2440.0,5.61261017366127,intermediate
CHEMBL3212445,Oc1c(/C=N/Cc2ccc(F)cc2)[nH]c2ccc(Br)c(Cl)c12,2440.0,2440.0,2440.0,5.61261017366127,intermediate
CHEMBL1371353,CCCCC(O)(CCCC)C(=O)NN(C(=O)CCl)c1ccccc1,2450.0,2450.0,2450.0,5.610833915635467,intermediate
CHEMBL1392532,O=C1C(Cl)=C(N2CCCCC2)C(=O)N1c1ccccc1Cl,2450.0,2450.0,2450.0,5.610833915635467,intermediate
CHEMBL1976304,COC1(OC)C(/C=C/c2ccc(Cl)cc2)C(C#N)(C#N)C1(OC)OC,2450.0,2450.0,2450.0,5.610833915635467,intermediate
CHEMBL1369737,CC1=NN(c2ccccc2)C(=O)C1=C(C)C,2460.0,2460.0,2460.0,5.609064892896621,intermediate
CHEMBL1610049,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,2460.0,2460.0,2460.0,5.609064892896621,intermediate
CHEMBL1374351,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1F,2470.0,2470.0,2470.0,5.607303046740334,intermediate
CHEMBL2001831,O=C(CCl)c1c[nH]c(/C=N/Nc2ccccc2Cl)c1,2480.0,2480.0,2480.0,5.605548319173783,intermediate
CHEMBL1328712,N#CC(C#N)=C(C#N)c1ccc(Nc2ccccc2)cc1,2490.0,2490.0,2490.0,5.603800652904264,intermediate
CHEMBL1365696,CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,2500.0,2500.0,2500.0,5.6020599913279625,intermediate
CHEMBL1549691,CC1=NN(Cc2ccccc2)C(=O)C1C(c1ccc(Cl)cc1)C(C#N)C#N,2500.0,2500.0,2500.0,5.6020599913279625,intermediate
CHEMBL1566134,CN1N=C(C(C)(C)C)CC1=O,2500.0,2500.0,2500.0,5.6020599913279625,intermediate
CHEMBL1313900,Cc1c(-c2nn(C)c(=O)c3ccccc23)oc2ccc(F)cc2c1=O,2510.0,2510.0,2510.0,5.600326278518962,intermediate
CHEMBL3145116,CCOC(=O)N1CCC(c2cc(=O)n(-c3ccccc3)[nH]2)CC1,2510.0,2510.0,2510.0,5.600326278518962,intermediate
CHEMBL1346883,Cc1ccc(NC2=C(NC(=O)c3ccccc3)C(=O)c3ccccc3C2=O)cc1Cl,2520.0,2520.0,2520.0,5.598599459218455,intermediate
CHEMBL1432590,O=C(O)c1cccc(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c1,2520.0,2520.0,2520.0,5.598599459218455,intermediate
CHEMBL345635,Oc1cc(C23CC4CC(CC(C4)C2)C3)n[nH]1,2520.0,2520.0,2520.0,5.598599459218455,intermediate
CHEMBL1472154,CC1=NN(c2ccccc2)C(=O)/C1=C\c1c[nH]nc1-c1ccccc1,2540.0,2540.0,2540.0,5.5951662833800615,intermediate
CHEMBL1546947,Cc1ccc(-n2nc(C)c3c2OC(N)=C(C#N)C3c2ccoc2)cc1,2560.0,2560.0,2560.0,5.59176003468815,intermediate
CHEMBL1521393,O=[N+]([O-])c1cccc(-c2cc(O)n[nH]2)c1,2570.0,2570.0,2570.0,5.590066876668706,intermediate
CHEMBL1536196,CNCc1ccccc1Sc1ccc(O)c(O)c1.O=C(O)/C=C\C(=O)O,2570.0,2570.0,2570.0,5.590066876668706,intermediate
CHEMBL1422763,CCCC1=NN(c2ccccc2)C(=O)/C1=C\c1ccc(OCc2ccc(C(=O)O)cc2)cc1,2590.0,2590.0,2590.0,5.586700235918748,intermediate
CHEMBL1430449,CCN(C(=O)c1ccc2c(Cl)c3c(nc2c1)CCC3)c1ccc(C)c(C)c1,2590.0,2590.0,2590.0,5.586700235918748,intermediate
CHEMBL1541259,O=C(O)/C=C/C(=O)Nc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,2590.0,2590.0,2590.0,5.586700235918748,intermediate
CHEMBL1573221,N#CC1=C(N)C(C#N)(C#N)C(c2cccnc2)C2CN(C(=O)OCc3ccccc3)CC=C12,2590.0,2590.0,2590.0,5.586700235918748,intermediate
CHEMBL1547143,N#CC1=C(N)Oc2nc(-c3ccccc3)[nH]c2C1c1cccnc1,2600.0,2600.0,2600.0,5.585026652029182,intermediate
CHEMBL1370899,Cc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1Cl,2610.0,2610.0,2610.0,5.583359492661719,intermediate
CHEMBL1401582,CN(Cc1ccc(Cl)cc1)C(=O)CCl,2610.0,2610.0,2610.0,5.583359492661719,intermediate
CHEMBL3145021,Cc1[nH]n(C)c(=O)c1C(=O)c1c(-c2ccccc2Cl)noc1C,2610.0,2610.0,2610.0,5.583359492661719,intermediate
CHEMBL1517746,CCOC(=O)c1c(NC(=O)c2ccco2)n(C2CCCCC2)c2nc3ccccc3nc12,2620.0,2620.0,2620.0,5.581698708680255,intermediate
CHEMBL1323439,Cc1n[nH]c(O)c1[C@@H](c1ccccc1[N+](=O)[O-])C(C#N)C#N,2630.0,2630.0,2630.0,5.580044251510242,intermediate
CHEMBL1332543,COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)c(OC)c1,2640.0,2640.0,2640.0,5.578396073130168,intermediate
CHEMBL1567402,CCOC(=O)c1c(OCC)[nH]c2c1cc(O)c1ccccc12,2640.0,2640.0,2640.0,5.578396073130168,intermediate
CHEMBL1391614,CCc1cc2c3c(c1)C1(C(=O)N3C(C)(C)C=C2C)C(C#N)=C(N)Oc2nc(O)nc(O)c21,2650.0,2650.0,2650.0,5.576754126063192,intermediate
CHEMBL1494363,Cc1cc(-c2[nH]nc3c2C(c2cccc(O)c2)C(C#N)=C(N)O3)c(C)s1,2650.0,2650.0,2650.0,5.576754126063192,intermediate
CHEMBL1309228,CS(=O)(=O)c1ccc(C(=O)OCc2nnc(-c3ccccc3)o2)cc1[N+](=O)[O-],2660.0,2660.0,2660.0,5.575118363368933,intermediate
CHEMBL1310302,Cc1ccc(NC(=O)CSc2ncnc3ccccc23)cc1S(=O)(=O)N1CCCCCC1,2660.0,2660.0,2660.0,5.575118363368933,intermediate
CHEMBL1584739,CCOc1ccc(NC(=O)C(c2ccccn2)N(C(=O)CCl)c2ccc(F)cc2)cc1,2670.0,2670.0,2670.0,5.573488738635424,intermediate
CHEMBL373839,CC1=NN(c2ccc(Cl)cc2)C(=O)C1,2670.0,2670.0,2670.0,5.573488738635424,intermediate
CHEMBL572189,Cc1cc(OC(=O)c2ccccc2)n(CCC#N)n1,2670.0,2670.0,2670.0,5.573488738635424,intermediate
CHEMBL1400638,CCCCCOP(=O)(OCCCCC)C1(NS(=O)(=O)c2ccccc2)C=CC(=O)c2ccccc21,2690.0,2690.0,2690.0,5.570247719997592,intermediate
CHEMBL1560229,CCn1c2ccccc2c2cc(C3C(C#N)=C(N)Oc4[nH]nc(COC)c43)ccc21,2700.0,2700.0,2700.0,5.568636235841012,intermediate
CHEMBL1309232,COc1ccc(NC(=O)/C(Cl)=C(/Cl)S(=O)(=O)Cc2ccc(C)cc2)cn1,2710.0,2710.0,2710.0,5.567030709125595,intermediate
CHEMBL1326349,Nc1c(-c2ccccc2)c(CSc2nc3ccccc3[nH]2)nn1-c1cccc(Cl)c1,2710.0,2710.0,2710.0,5.567030709125595,intermediate
CHEMBL1556750,O=C(CCl)NN=C(c1ccccc1)c1ccccc1,2710.0,2710.0,2710.0,5.567030709125595,intermediate
CHEMBL1529127,Cc1cc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)c(C)n1CC(F)(F)F,2720.0,2720.0,2720.0,5.565431095965801,intermediate
CHEMBL1557914,CC(=O)Oc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1,2720.0,2720.0,2720.0,5.565431095965801,intermediate
CHEMBL1324556,CC(=O)OCCNc1cc(SCc2ccco2)c2nonc2c1[N+](=O)[O-],2730.0,2730.0,2730.0,5.5638373529592435,intermediate
CHEMBL1431075,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,2730.0,2730.0,2730.0,5.5638373529592435,intermediate
CHEMBL3207693,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,2730.0,2730.0,2730.0,5.5638373529592435,intermediate
CHEMBL1506031,Nc1ccc(N2CCCCC2)c2nonc12,2760.0,2760.0,2760.0,5.559090917934782,intermediate
CHEMBL1573586,CC(=O)c1cccc2c1N=C(c1[nH]c3ccccc3c1O)C2=O,2760.0,2760.0,2760.0,5.559090917934782,intermediate
CHEMBL2094422,O=C(Cc1cc(O)[nH]n1)N/N=C/C=C/c1ccccc1,2760.0,2760.0,2760.0,5.559090917934782,intermediate
CHEMBL1449008,CC(C)(C)c1ccc(/C=C(\c2nc3ccccc3[nH]2)S(=O)(=O)c2ccccc2)cc1,2770.0,2770.0,2770.0,5.557520230935552,intermediate
CHEMBL1501680,O=C(CCl)Nc1cn(-c2ccccc2)nc1-c1ccc(F)cc1,2770.0,2770.0,2770.0,5.557520230935552,intermediate
CHEMBL1588697,CC1=NN(c2ccccc2)C(=O)/C1=C\c1cn(CCC#N)nc1-c1ccc(Cl)cc1,2770.0,2770.0,2770.0,5.557520230935552,intermediate
CHEMBL1527129,Cc1nn(Cc2ccccc2)c2c1C(c1cccnc1)C(C#N)=C(N)O2,2780.0,2780.0,2780.0,5.555955204081924,intermediate
CHEMBL1307096,CN(C)CCSc1n[nH]c2nc3ccccc3c-2n1.Cl,2790.0,2790.0,2790.0,5.554395796726403,intermediate
CHEMBL1369655,COc1ccc(NC(=O)/C(Cl)=C(/Cl)S(=O)(=O)Cc2ccccc2)cn1,2790.0,2790.0,2790.0,5.554395796726403,intermediate
CHEMBL1377005,CCCCCN1N=C(C)CC1=O,2790.0,2790.0,2790.0,5.554395796726403,intermediate
CHEMBL1477528,Cc1ccccc1CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(F)cc2)n1,2790.0,2790.0,2790.0,5.554395796726403,intermediate
CHEMBL1499853,COc1cc(/C=C2\C(=O)N(CCC#N)N=C2C)ccc1OCC(=O)Nc1ccccc1,2790.0,2790.0,2790.0,5.554395796726403,intermediate
CHEMBL1400449,CCCC1=NN(c2ccccc2)C(=O)/C1=C/c1ccc(OCc2ccc(C(=O)O)cc2)cc1,2800.0,2800.0,2800.0,5.552841968657781,intermediate
CHEMBL1366252,CC(=O)Oc1c(Br)cc(N(C(C)=O)S(=O)(=O)c2ccccc2)c2ccccc12,2810.0,2810.0,2810.0,5.55129368009492,intermediate
CHEMBL1369862,COc1ccc(C2=NN(c3nc(C)cc(C)n3)C(=O)C2)cc1,2810.0,2810.0,2810.0,5.55129368009492,intermediate
CHEMBL1382760,CC(=O)c1cc(O)c2ccccc2c1O,2820.0,2820.0,2820.0,5.549750891680639,intermediate
CHEMBL1402422,COc1ccccc1/C=C/C1(C(=O)NC2CCCC2)CC(=O)N1c1ccc(F)cc1,2820.0,2820.0,2820.0,5.549750891680639,intermediate
CHEMBL1351794,Cc1n[nH]c2c1C1(CCOCC1)C(C#N)=C(N)O2,2830.0,2830.0,2830.0,5.548213564475709,intermediate
CHEMBL1523567,Cc1cc(C(=O)c2ccccc2)c(NC(=O)CCl)s1,2830.0,2830.0,2830.0,5.548213564475709,intermediate
CHEMBL1794088,CC1=NNC(=O)C1C(c1ccc(F)cc1)C(C#N)C#N,2830.0,2830.0,2830.0,5.548213564475709,intermediate
CHEMBL1385073,CC(C)(C)C(=O)Nc1ccc(N=Nc2ccccc2)cc1,2850.0,2850.0,2850.0,5.54515513999149,intermediate
CHEMBL1595403,COc1ccc(S(=O)(=O)Nc2c(O)ccc3ccccc23)cc1OC,2850.0,2850.0,2850.0,5.54515513999149,intermediate
CHEMBL1544876,CC1CCCN(C2=C(Cl)C(=O)N(c3cccc(Cl)c3)C2=O)C1,2860.0,2860.0,2860.0,5.543633966870956,intermediate
CHEMBL1727447,C/C(=N\NC(=O)c1ccncc1)c1cc2ccccc2oc1=O,2860.0,2860.0,2860.0,5.543633966870956,intermediate
CHEMBL1331111,O=C(O)/C=C/C(=O)Nc1ccc(C2(c3ccc(NC(=O)/C=C/C(=O)O)cc3)c3ccccc3-c3ccccc32)cc1,2880.0,2880.0,2880.0,5.5406075122407685,intermediate
CHEMBL1353816,Cc1nn(-c2ccccc2)c2c1C1(C(=O)N(C(C)C)c3ccccc31)C(C#N)=C(N)O2,2880.0,2880.0,2880.0,5.5406075122407685,intermediate
CHEMBL1602856,COC(=O)Cc1n[nH]c2c1C(c1ccc(O)c(OC)c1)C(C#N)=C(N)O2,2880.0,2880.0,2880.0,5.5406075122407685,intermediate
