activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,normalized_smiles
6720453,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1ccc(S(=O)(=O)N(C)c2ccc(OC(=O)CSCc3c(C)noc3C)cc2)cc1C,CHEMBL1201862,CHEMBL1512368,4.14,=,=,EC50,nM,71700.0,CHEMBL1741171,EC50,uM,71.7,71700.0,4.1444808443322,Cc1ccc(S(=O)(=O)N(C)c2ccc(OC(=O)CSCc3c(C)noc3C)cc2)cc1C
6769278,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC1OC(Nc2cccc3ccccc23)C(O)C(O)C1O,CHEMBL1201862,CHEMBL1469091,4.12,=,=,EC50,nM,75100.0,CHEMBL1741171,EC50,uM,75.1,75100.0,4.124360062995832,CC1OC(Nc2cccc3ccccc23)C(O)C(O)C1O
6769219,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(C)Nc1ccc(Nc2ccccc2)cc1,CHEMBL1201862,CHEMBL1449018,4.12,=,=,EC50,nM,76400.0,CHEMBL1741171,EC50,uM,76.4,76400.0,4.11690664142431,CC(C)Nc1ccc(Nc2ccccc2)cc1
6776767,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(/C=C2\SC(=S)N(CCCC(=O)Nc3ccc(O)cc3)C2=O)cc1,CHEMBL1201862,CHEMBL1409900,4.11,=,=,EC50,nM,78100.0,CHEMBL1741171,EC50,uM,78.1,78100.0,4.1073489661227,COc1ccc(/C=C2\SC(=S)N(CCCC(=O)Nc3ccc(O)cc3)C2=O)cc1
6765507,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cl.OC(COC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)CN1CCc2ccccc2C1,CHEMBL1201862,CHEMBL1389509,4.09,=,=,EC50,nM,81500.0,CHEMBL1741171,EC50,uM,81.5,81500.0,4.088842391260023,Cl.OC(COC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)CN1CCc2ccccc2C1
6754128,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1cc(C)cc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)c1,CHEMBL1201862,CHEMBL1556273,4.08,=,=,EC50,nM,83000.0,CHEMBL1741171,EC50,uM,83.0,83000.0,4.080921907623926,Cc1cc(C)cc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)c1
6776867,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(=O)NCCn1c(SCc2ccccc2C)nc2ccccc2c1=O,CHEMBL1201862,CHEMBL1424773,4.08,=,=,EC50,nM,83200.0,CHEMBL1741171,EC50,uM,83.2,83200.0,4.079876673709276,CC(=O)NCCn1c(SCc2ccccc2C)nc2ccccc2c1=O
6769277,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cc(Cc2nccc3cc(OC)c(OC)cc23)c(S(=O)(=O)O)cc1OC,CHEMBL1201862,CHEMBL1508459,4.07,=,=,EC50,nM,85700.0,CHEMBL1741171,EC50,uM,85.7,85700.0,4.0670191780768015,COc1cc(Cc2nccc3cc(OC)c(OC)cc23)c(S(=O)(=O)O)cc1OC
6750329,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(CSc1nnc(Cc2ccccc2)o1)Nc1cccc(F)c1,CHEMBL1201862,CHEMBL1581601,4.07,=,=,EC50,nM,86100.0,CHEMBL1741171,EC50,uM,86.1,86100.0,4.064996848546345,O=C(CSc1nnc(Cc2ccccc2)o1)Nc1cccc(F)c1
6720482,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",NNc1nnc(S)n1N,CHEMBL1201862,CHEMBL1531579,4.06,=,=,EC50,nM,86400.0,CHEMBL1741171,EC50,uM,86.4,86400.0,4.063486257521107,NNc1nnc(S)n1N
