molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1406372,Cc1sc(NC(=O)CSC2=NCCS2)nc1-c1ccccc1,4250.0,4250.0,4250.0,5.371611069949688,intermediate,,,Small molecule,MOL,Cc1sc(NC(=O)CSC2=NCCS2)nc1-c1ccccc1,YCFKHXQVUDCTPN-UHFFFAOYSA-N,349.51,3.89,54.35,6.0,1.0,4.0,2.0,
CHEMBL1430266,Cc1ccc(-c2ccc(C3C(C#N)=C(N)Oc4[nH]nc(C)c43)o2)cc1,4250.0,4250.0,4250.0,5.371611069949688,intermediate,,,Small molecule,MOL,Cc1ccc(-c2ccc(C3C(C#N)=C(N)Oc4[nH]nc(C)c43)o2)cc1,XPFYZPQFFRMZKY-UHFFFAOYSA-N,332.36,3.50,100.86,5.0,2.0,2.0,3.0,
CHEMBL1499951,Cn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,4250.0,4250.0,4250.0,5.371611069949688,intermediate,,,Small molecule,MOL,Cn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,KPDOVJBEKCRATD-UHFFFAOYSA-N,238.63,2.10,65.14,4.0,0.0,1.0,2.0,
CHEMBL1611041,Br.CCOC(=O)c1c(CSC(=N)N)n(-c2ccc(C)cc2)c2cc(Br)c(OC(C)=O)cc12,4250.0,4250.0,4250.0,5.371611069949688,intermediate,,,Small molecule,MOL,Br.CCOC(=O)c1c(CSC(=N)N)n(-c2ccc(C)cc2)c2cc(Br)c(OC(C)=O)cc12,MOJPRUBTEBCBHJ-UHFFFAOYSA-N,585.32,4.93,107.40,7.0,2.0,6.0,3.0,
CHEMBL1314042,COc1ccccc1-c1cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N2CCOCC2)n1,4260.0,4260.0,4260.0,5.370590400897282,intermediate,,,Small molecule,MOL,COc1ccccc1-c1cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N2CCOCC2)n1,LEOXTJRUFANINQ-UHFFFAOYSA-N,473.47,2.58,98.69,7.0,0.0,7.0,2.0,
CHEMBL1449387,Cc1cc(C)cc(S(=O)(=O)c2cnc3ccccc3n2)c1,4260.0,4260.0,4260.0,5.370590400897282,intermediate,,,Small molecule,MOL,Cc1cc(C)cc(S(=O)(=O)c2cnc3ccccc3n2)c1,LLFJKMJCYIKABQ-UHFFFAOYSA-N,298.37,3.08,59.92,4.0,0.0,2.0,3.0,
CHEMBL1349535,CC1(C)c2ssc(=S)c2-c2ccccc2N1C(=O)CSC1=NCCS1,4270.0,4270.0,4270.0,5.369572124974976,intermediate,,,Small molecule,MOL,CC1(C)c2ssc(=S)c2-c2ccccc2N1C(=O)CSC1=NCCS1,YLZFDDXCXXQVTH-UHFFFAOYSA-N,424.66,5.62,32.67,7.0,0.0,2.0,2.0,
CHEMBL3209456,COc1ccc(COC(=O)N/N=C(\C)CC(=O)Nc2ccc(Cl)cn2)cc1,4270.0,4270.0,4270.0,5.369572124974976,intermediate,,,Small molecule,MOL,COc1ccc(COC(=O)N/N=C(\C)CC(=O)Nc2ccc(Cl)cn2)cc1,SZYIYYCKGQJATC-WSDLNYQXSA-N,390.83,3.37,101.91,6.0,2.0,7.0,2.0,
CHEMBL1351136,Cc1n[nH]c2c1C(c1ccco1)C(C#N)=C(N)O2,4280.0,4280.0,4280.0,5.368556230986828,intermediate,,,Small molecule,MOL,Cc1n[nH]c2c1C(c1ccco1)C(C#N)=C(N)O2,UHARQVNAUNOBNF-UHFFFAOYSA-N,242.24,1.53,100.86,5.0,2.0,1.0,2.0,
CHEMBL1388764,O=C(CCl)Nc1cccc(Oc2ccccc2)c1,4280.0,4280.0,4280.0,5.368556230986828,intermediate,,,Small molecule,MOL,O=C(CCl)Nc1cccc(Oc2ccccc2)c1,DKHUVPFSHILVQW-UHFFFAOYSA-N,261.71,3.66,38.33,2.0,1.0,4.0,2.0,
