molecule_chembl_id,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1794249,,,Small molecule,MOL,CCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,QKCKCQDAMDBKOO-UHFFFAOYSA-N,272.33,2.25,87.72,5.0,2.0,2.0,2.0,
CHEMBL1794278,,,Small molecule,MOL,CCn1nc(C)c(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)c1C,DHINARXJUHIUTC-UHFFFAOYSA-N,298.35,1.77,105.54,6.0,2.0,2.0,2.0,
CHEMBL3145026,,,Small molecule,MOL,Cc1cc(=O)n(-c2ccc(C(=O)O)cc2)[nH]1,UCPCNLOLCYTUOE-UHFFFAOYSA-N,218.21,1.17,75.09,3.0,2.0,2.0,2.0,
CHEMBL3188273,,,Small molecule,MOL,CN1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)S/C1=N\c1ccc(Cl)c(C(=O)O)c1,FJJBXYXORIQWLQ-WSMIJMPASA-N,483.89,5.44,126.25,7.0,1.0,5.0,3.0,
CHEMBL3191961,,,Small molecule,MOL,CCc1nnc(N/N=C/c2cc(Br)c(O)cc2O)n1N,LYZYLQZJMFJEET-LHHJGKSTSA-N,341.17,1.17,121.58,8.0,4.0,4.0,2.0,
CHEMBL3194842,,,Small molecule,MOL,CN1C(=O)/C(=N\OC(=O)c2cccc3ccccc23)c2ccccc21,DPJBCKVTUQFNDM-UZYVYHOESA-N,330.34,3.38,58.97,4.0,0.0,2.0,3.0,
CHEMBL3198784,,,Small molecule,MOL,CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,RUZRZEJIFSSCIA-UFFVCSGVSA-N,369.37,3.67,109.33,6.0,2.0,6.0,3.0,
CHEMBL3208288,,,Small molecule,MOL,COC(=O)N/N=C\c1ccc(OC(=O)c2ccco2)cc1,CGTFXNBFQHOWCW-DHDCSXOGSA-N,288.26,2.19,90.13,6.0,1.0,4.0,2.0,
CHEMBL290916,EDARAVONE,4.0,Small molecule,MOL,CC1=NN(c2ccccc2)C(=O)C1,QELUYTUMUWHWMC-UHFFFAOYSA-N,174.20,1.80,32.67,2.0,0.0,1.0,1.0,
CHEMBL52347,"1,2-NAPHTHOQUINONE",,Small molecule,MOL,O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,158.16,1.47,34.14,2.0,0.0,0.0,1.0,
CHEMBL339561,,,Small molecule,MOL,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,KKPUXQRFWHNBLA-UHFFFAOYSA-N,272.31,3.66,42.85,3.0,0.0,1.0,3.0,
CHEMBL171632,,,Small molecule,MOL,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,XQJQZTOXHGIQCA-UHFFFAOYSA-N,280.33,2.29,74.64,5.0,1.0,1.0,1.0,
CHEMBL405110,METHYLENE BLUE ANHYDROUS,4.0,Small molecule,MOL,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],CXKWCBBOMKCUKX-UHFFFAOYSA-M,319.86,2.50,19.14,3.0,0.0,1.0,1.0,
CHEMBL551842,LOBARIC ACID,,Small molecule,MOL,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2,JHEWMLHQNRHTQX-UHFFFAOYSA-N,456.49,5.53,119.36,7.0,2.0,10.0,2.0,
CHEMBL585656,,,Small molecule,MOL,CC(=O)N(Cc1ccc(F)cc1)C1=C(NCCc2ccccc2)C(=O)c2ccccc2C1=O,SNPULDFVHOUJEE-UHFFFAOYSA-N,442.49,4.30,66.48,4.0,1.0,7.0,3.0,
CHEMBL527336,,,Small molecule,MOL,Cc1ccc(NC2=C(N3CCCCC3)C(=O)c3ccccc3C2=O)cc1,SRBBCQOOXRLZOZ-UHFFFAOYSA-N,346.43,4.18,49.41,4.0,1.0,3.0,2.0,
CHEMBL590691,,,Small molecule,MOL,CC(=O)N(C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,LPMUIPFHMOGKEV-UHFFFAOYSA-N,420.42,2.36,104.22,6.0,1.0,4.0,2.0,
CHEMBL1201055,,,Small molecule,NONE,,,397.29,,,,,,,
