molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,bioactivity_numeric
CHEMBL1533867,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C(=O)c1ccncc1)c1ccc2oc3c(c2c1)CCCC3,10800.0,inactive,0
CHEMBL1399145,CC1(C)N=C(SCC(=O)Nc2ccc(Cl)cc2Cl)C(c2ccccc2)=N1,17700.0,inactive,0
CHEMBL1458321,O=C(NC1(O)C(=O)c2ccccc2C1=O)c1c(Cl)cccc1Cl,28600.0,inactive,0
CHEMBL1719244,COc1ccccc1Nc1cc2cc(Br)ccc2c(O)n1,23300.0,inactive,0
CHEMBL1339956,CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)cc(Br)c1OC(=O)c1ccc(OC)cc1,13200.0,inactive,0
CHEMBL3196831,O=C(Cc1cc(O)n[nH]1)N/N=C/c1cccc2ccccc12,694.0,active,1
CHEMBL1409588,CN(C)c1ccc(NC(=O)c2ccncc2)c2ccccc12,45400.0,inactive,0
CHEMBL1477488,CCCCC(=O)NC(c1cccc([N+](=O)[O-])c1)c1c(OC(C)=O)ccc2ccccc12,25400.0,inactive,0
CHEMBL1699978,COc1ccc(NC(=O)Nc2ccc(O)c3ccccc23)cc1,722.0,active,1
CHEMBL3197091,Cc1cc(C)c(S(=O)(=O)/N=C2\C=C(Nc3ccc(C(=O)O)cc3)C(=O)c3ccccc32)c(C)c1,69.6,active,1
CHEMBL1399100,O=C1/C(=C/c2ccc(F)cc2)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1,30300.0,inactive,0
CHEMBL1379918,Cc1ccc(NC2=C(NCCO)C(=O)c3ccccc3C2=O)cc1,11700.0,inactive,0
CHEMBL1364384,COc1ccc(OC)c(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c1,26300.0,inactive,0
CHEMBL1465185,O=C(O)CNS(=O)(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,10700.0,inactive,0
CHEMBL1364506,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,43.0,active,1
CHEMBL1165723,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,10400.0,inactive,0
CHEMBL1409883,CCCNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,24400.0,inactive,0
CHEMBL1465170,NC1=NN(c2cccc(C(=O)O)c2)C(=O)C1,23700.0,inactive,0
CHEMBL1359282,CC1=NNC(=O)C1Cc1ccccc1C,329.0,active,1
CHEMBL1594685,COC(=O)c1ccc(-n2c(C)cc(C(=O)CCl)c2C)cc1,22700.0,inactive,0
CHEMBL1543601,N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1ccsc1,672.0,active,1
CHEMBL1528844,CCN1C(=O)c2c(C)nc3ccccc3c2C1=O,781.0,active,1
CHEMBL1465186,CCCCN(C(=O)c1cccc2c(=O)c(C)c(-c3ccccc3)oc12)c1ccccc1,15200.0,inactive,0
CHEMBL1482637,CC(=O)C(=Nc1ccc(Cl)cc1Cl)NNc1cccc(Cl)c1,49000.0,inactive,0
CHEMBL1346860,COc1ccc(-c2oc(NC(=O)CCl)c(C#N)c2-c2ccc(OC)cc2)cc1,670.0,active,1
CHEMBL584626,CCCCNC1=CC(=O)C(=O)c2ccccc21,669.0,active,1
CHEMBL1494762,CCCOC(=O)c1ccc(OC(=O)c2ccco2)cc1,11800.0,inactive,0
