molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1433075,CCCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,2170.0,intermediate
CHEMBL405110,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],30000.0,inactive
CHEMBL1590201,Cc1c([N+](=O)[O-])cnc(Sc2ccccc2)c1[N+](=O)[O-],47.9,active
CHEMBL1403329,Cn1ccnc1Sc1cc(NCCCO)c([N+](=O)[O-])c2nonc12,3320.0,intermediate
CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,891.0,active
CHEMBL1560220,CCCc1n[nH]c2c1C(c1ccccc1OCC)C(C#N)=C(N)O2,9010.0,intermediate
CHEMBL1493944,CCOc1cc(/C=C2/C(=O)N(c3ccccc3)N=C2C)ccc1OC(=O)c1ccco1,1640.0,intermediate
CHEMBL1492648,CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,5530.0,intermediate
CHEMBL1410897,CC(C)c1nnc(NC(=O)CCS(=O)(=O)c2nc(-c3cccs3)cc(C(F)(F)F)n2)s1,30400.0,inactive
CHEMBL1490987,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1,86700.0,inactive
CHEMBL1472327,CC1(C)Cc2ccccc2C2=NNC(=O)C2=N1,1170.0,intermediate
CHEMBL1567670,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,9920.0,intermediate
CHEMBL1442559,Cc1n[nH]c2c1C(CC(C)C)C(C#N)=C(N)O2,3840.0,intermediate
CHEMBL2006840,COc1cccc(/C=N/Nc2cc(C)nc(-c3ccccc3O)n2)c1O,356700.0,inactive
CHEMBL1393844,CN(C)c1ccc2nsnc2c1[N+](=O)[O-],8640.0,intermediate
CHEMBL1363679,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3c(C)cccc3C)n2)c1,4660.0,intermediate
CHEMBL1521393,O=[N+]([O-])c1cccc(-c2cc(O)n[nH]2)c1,2570.0,intermediate
CHEMBL1589625,Cc1n[nH]c2c1C(c1c(C)nn(-c3ccccc3)c1Cl)C(C#N)=C(N)O2,13500.0,inactive
CHEMBL1565520,Cc1ccc(Cn2ncc(Cl)c(Cl)c2=O)cc1,7650.0,intermediate
CHEMBL1599023,N#C[C@H]1[C@H](c2ccccc2)[C@](C#N)(C(=O)c2ccccc2)[C@@H]2C=Cc3ccccc3N21,8360.0,intermediate
CHEMBL585656,CC(=O)N(Cc1ccc(F)cc1)C1=C(NCCc2ccccc2)C(=O)c2ccccc2C1=O,1420.0,intermediate
CHEMBL1313973,Clc1ccc(-c2nnc(Sc3nc4ccccc4o3)c3ccccc23)cc1,405.0,active
CHEMBL1472280,Cc1nc2ccccc2c2c1C(=O)N(Cc1cccnc1)C2=O,1020.0,intermediate
CHEMBL1494100,CCCCn1c(N)c(C(=O)NCc2cccs2)c2nc3ccccc3nc21,47400.0,inactive
CHEMBL1313900,Cc1c(-c2nn(C)c(=O)c3ccccc23)oc2ccc(F)cc2c1=O,2510.0,intermediate
CHEMBL171632,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,297.0,active
