activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,activity_label,normalized_smiles
6776746,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCc1n[nH]c2c1C1(CCN(C(=O)c3ccccc3)CC1)C(C#N)=C(N)O2,CHEMBL1201862,CHEMBL1587979,5.37,=,=,EC50,nM,4300.0,CHEMBL1741171,EC50,uM,4.3,4300.0,5.366531544420413,weak_or_moderate,CCc1n[nH]c2c1C1(CCN(C(=O)c3ccccc3)CC1)C(C#N)=C(N)O2
6776747,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(C(=O)c2c(C(F)(F)F)oc3c2C(=O)c2ccccc2C3=O)cc1,CHEMBL1201862,CHEMBL1384702,7.08,=,=,EC50,nM,82.5,CHEMBL1741171,EC50,uM,0.0825,82.5,7.0835460514500745,potent,COc1ccc(C(=O)c2c(C(F)(F)F)oc3c2C(=O)c2ccccc2C3=O)cc1
6776748,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCCCn1[nH]c(-c2ccccc2)cc1=O,CHEMBL1201862,CHEMBL3145082,5.98,=,=,EC50,nM,1050.0,CHEMBL1741171,EC50,uM,1.05,1050.0,5.978810700930062,weak_or_moderate,CCCCn1[nH]c(-c2ccccc2)cc1=O
6776749,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cn1nnnc1Sc1ncnc2scc(-c3ccc(F)cc3)c12,CHEMBL1201862,CHEMBL1378851,4.95,=,=,EC50,nM,11200.0,CHEMBL1741171,EC50,uM,11.2,11200.0,4.950781977329818,weak_or_moderate,Cn1nnnc1Sc1ncnc2scc(-c3ccc(F)cc3)c12
6776750,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",OC1=C(/C=N/c2ccc3c(c2)OCO3)CCc2ccccc21,CHEMBL1201862,CHEMBL1993627,6.37,=,=,EC50,nM,430.0,CHEMBL1741171,EC50,uM,0.43,430.0,6.366531544420413,potent,OC1=C(/C=N/c2ccc3c(c2)OCO3)CCc2ccccc21
6776751,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(Nc1ccc(Cl)cc1)C1c2cccc[n+]2CC(=O)N1Cc1ccc2c(c1)OCO2.[I-],CHEMBL1201862,CHEMBL1431612,4.88,=,=,EC50,nM,13300.0,CHEMBL1741171,EC50,uM,13.3,13300.0,4.876148359032914,weak_or_moderate,O=C(Nc1ccc(Cl)cc1)C1c2cccc[n+]2CC(=O)N1Cc1ccc2c(c1)OCO2.[I-]
6776753,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1nn(-c2ccccc2)c(O)c1/C=N/NC(=O)c1ccc(O)cc1O,CHEMBL1201862,CHEMBL3191991,5.5,=,=,EC50,nM,3130.0,CHEMBL1741171,EC50,uM,3.13,3130.0,5.504455662453552,weak_or_moderate,Cc1nn(-c2ccccc2)c(O)c1/C=N/NC(=O)c1ccc(O)cc1O
6776755,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC1Nc2ncnc(N3CCc4ccccc4C3)c2N(Cc2ccc(Br)cc2)C1=O.O=C(O)C(F)(F)F,CHEMBL1201862,CHEMBL1713763,4.62,=,=,EC50,nM,23700.0,CHEMBL1741171,EC50,uM,23.7,23700.0,4.6252516539898965,weak_or_moderate,CC1Nc2ncnc(N3CCc4ccccc4C3)c2N(Cc2ccc(Br)cc2)C1=O.O=C(O)C(F)(F)F
6776756,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=S(=O)(Nc1c(O)ccc2ccccc12)c1ccc(F)cc1,CHEMBL1201862,CHEMBL1733991,5.94,=,=,EC50,nM,1160.0,CHEMBL1741171,EC50,uM,1.16,1160.0,5.935542010773082,weak_or_moderate,O=S(=O)(Nc1c(O)ccc2ccccc12)c1ccc(F)cc1
6776757,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(C(=O)N/N=C\c2coc3ccc(Cl)cc3c2=O)cc1,CHEMBL1201862,CHEMBL3192535,4.7,=,=,EC50,nM,19800.0,CHEMBL1741171,EC50,uM,19.8,19800.0,4.703334809738469,weak_or_moderate,COc1ccc(C(=O)N/N=C\c2coc3ccc(Cl)cc3c2=O)cc1
6776758,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C1NC2=C(CCc3ccccc32)C(c2ccccc2)N1,CHEMBL1201862,CHEMBL1344806,5.78,=,=,EC50,nM,1670.0,CHEMBL1741171,EC50,uM,1.67,1670.0,5.777283528852417,weak_or_moderate,O=C1NC2=C(CCc3ccccc32)C(c2ccccc2)N1
6776759,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(CC(=O)N/N=C(/C)CC(=O)N(C)c2ccccc2)cc1,CHEMBL1201862,CHEMBL3192544,5.04,=,=,EC50,nM,9230.0,CHEMBL1741171,EC50,uM,9.23,9230.0,5.0347982989740885,weak_or_moderate,COc1ccc(CC(=O)N/N=C(/C)CC(=O)N(C)c2ccccc2)cc1
6776760,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",NS(=O)(=O)c1ccc(NN=C2C(=O)NC(=S)NC2=O)cc1,CHEMBL1201862,CHEMBL1352439,4.81,=,=,EC50,nM,15500.0,CHEMBL1741171,EC50,uM,15.5,15500.0,4.809668301829708,weak_or_moderate,NS(=O)(=O)c1ccc(NN=C2C(=O)NC(=S)NC2=O)cc1
6776761,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cccc(C2C(C#N)=C(N)Oc3c2c(C)nn3-c2ccccc2)c1OC,CHEMBL1201862,CHEMBL1304700,5.49,=,=,EC50,nM,3250.0,CHEMBL1741171,EC50,uM,3.25,3250.0,5.488116639021126,weak_or_moderate,COc1cccc(C2C(C#N)=C(N)Oc3c2c(C)nn3-c2ccccc2)c1OC
6776762,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1cc(C(=O)CCl)c(C)n1CCc1ccccc1,CHEMBL1201862,CHEMBL1525315,4.61,=,=,EC50,nM,24400.0,CHEMBL1741171,EC50,uM,24.4,24400.0,4.61261017366127,weak_or_moderate,Cc1cc(C(=O)CCl)c(C)n1CCc1ccccc1
6776763,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1cccc(C)c1-n1cccc1/C=C1\SC(=S)N(c2cccc(C(=O)O)c2)C1=O,CHEMBL1201862,CHEMBL1352564,5.04,=,=,EC50,nM,9090.0,CHEMBL1741171,EC50,uM,9.09,9090.0,5.041436116778033,weak_or_moderate,Cc1cccc(C)c1-n1cccc1/C=C1\SC(=S)N(c2cccc(C(=O)O)c2)C1=O
6776764,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(Cc1ccccc1Cl)NC1(O)C(=O)c2ccccc2C1=O,CHEMBL1201862,CHEMBL1605867,5.09,=,=,EC50,nM,8180.0,CHEMBL1741171,EC50,uM,8.18,8180.0,5.087246696328677,weak_or_moderate,O=C(Cc1ccccc1Cl)NC1(O)C(=O)c2ccccc2C1=O
6776766,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(O)CN1C(=O)/C(=C\c2ccc(OC(=O)c3ccco3)cc2)SC1=S,CHEMBL1201862,CHEMBL1580600,4.69,=,=,EC50,nM,20300.0,CHEMBL1741171,EC50,uM,20.3,20300.0,4.692503962086787,weak_or_moderate,O=C(O)CN1C(=O)/C(=C\c2ccc(OC(=O)c3ccco3)cc2)SC1=S
