molecule_chembl_id,n_records,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,activity_label
CHEMBL1385690,1,1270.0,1270.0,1270.0,5.896196279044043,weak_or_moderate
CHEMBL1333617,1,1280.0,1280.0,1280.0,5.892790030352131,weak_or_moderate
CHEMBL1581425,1,1280.0,1280.0,1280.0,5.892790030352131,weak_or_moderate
CHEMBL3198015,1,1280.0,1280.0,1280.0,5.892790030352131,weak_or_moderate
CHEMBL1380942,1,1290.0,1290.0,1290.0,5.889410289700751,weak_or_moderate
CHEMBL1418568,1,1290.0,1290.0,1290.0,5.889410289700751,weak_or_moderate
CHEMBL1488429,1,1290.0,1290.0,1290.0,5.889410289700751,weak_or_moderate
CHEMBL1714915,1,1290.0,1290.0,1290.0,5.889410289700751,weak_or_moderate
CHEMBL1974506,1,1290.0,1290.0,1290.0,5.889410289700751,weak_or_moderate
CHEMBL1338846,1,1300.0,1300.0,1300.0,5.886056647693163,weak_or_moderate
CHEMBL1585003,1,1300.0,1300.0,1300.0,5.886056647693163,weak_or_moderate
CHEMBL1586481,1,1300.0,1300.0,1300.0,5.886056647693163,weak_or_moderate
CHEMBL1999049,1,1300.0,1300.0,1300.0,5.886056647693163,weak_or_moderate
CHEMBL1539522,1,1310.0,1310.0,1310.0,5.882728704344236,weak_or_moderate
CHEMBL3191681,1,1310.0,1310.0,1310.0,5.882728704344236,weak_or_moderate
CHEMBL1465144,1,1320.0,1320.0,1320.0,5.8794260687941495,weak_or_moderate
CHEMBL1531656,1,1330.0,1330.0,1330.0,5.876148359032914,weak_or_moderate
CHEMBL1386752,1,1340.0,1340.0,1340.0,5.872895201635192,weak_or_moderate
CHEMBL1450393,1,1340.0,1340.0,1340.0,5.872895201635192,weak_or_moderate
CHEMBL1707033,1,1340.0,1340.0,1340.0,5.872895201635192,weak_or_moderate
CHEMBL1321664,1,1350.0,1350.0,1350.0,5.8696662315049934,weak_or_moderate
CHEMBL1574908,1,1350.0,1350.0,1350.0,5.8696662315049934,weak_or_moderate
CHEMBL1420920,1,1360.0,1360.0,1360.0,5.866461091629782,weak_or_moderate
CHEMBL1570958,1,1370.0,1370.0,1370.0,5.863279432843593,weak_or_moderate
CHEMBL1326534,1,1380.0,1380.0,1380.0,5.860120913598763,weak_or_moderate
CHEMBL3192994,1,1380.0,1380.0,1380.0,5.860120913598763,weak_or_moderate
CHEMBL1426255,1,1390.0,1390.0,1390.0,5.856985199745905,weak_or_moderate
CHEMBL1346986,1,1400.0,1400.0,1400.0,5.853871964321762,weak_or_moderate
CHEMBL1388469,1,1410.0,1410.0,1410.0,5.85078088734462,weak_or_moderate
CHEMBL1509349,1,1410.0,1410.0,1410.0,5.85078088734462,weak_or_moderate
CHEMBL1390452,1,1420.0,1420.0,1420.0,5.847711655616943,weak_or_moderate
CHEMBL1430314,1,1420.0,1420.0,1420.0,5.847711655616943,weak_or_moderate
CHEMBL1488050,1,1420.0,1420.0,1420.0,5.847711655616943,weak_or_moderate
CHEMBL585656,1,1420.0,1420.0,1420.0,5.847711655616943,weak_or_moderate
CHEMBL1431334,1,1430.0,1430.0,1430.0,5.844663962534938,weak_or_moderate
CHEMBL1454239,1,1430.0,1430.0,1430.0,5.844663962534938,weak_or_moderate
CHEMBL1964615,1,1430.0,1430.0,1430.0,5.844663962534938,weak_or_moderate
CHEMBL1546134,1,1440.0,1440.0,1440.0,5.84163750790475,weak_or_moderate
CHEMBL1321179,1,1460.0,1460.0,1460.0,5.835647144215563,weak_or_moderate
CHEMBL1414175,1,1460.0,1460.0,1460.0,5.835647144215563,weak_or_moderate
CHEMBL1453483,1,1460.0,1460.0,1460.0,5.835647144215563,weak_or_moderate
CHEMBL1477770,1,1460.0,1460.0,1460.0,5.835647144215563,weak_or_moderate
CHEMBL1499282,1,1470.0,1470.0,1470.0,5.8326826652518236,weak_or_moderate
CHEMBL3145191,1,1470.0,1470.0,1470.0,5.8326826652518236,weak_or_moderate
CHEMBL1417099,1,1480.0,1480.0,1480.0,5.8297382846050425,weak_or_moderate
CHEMBL1713433,1,1490.0,1490.0,1490.0,5.826813731587726,weak_or_moderate
CHEMBL1302170,1,1500.0,1500.0,1500.0,5.823908740944319,weak_or_moderate
CHEMBL1519022,1,1500.0,1500.0,1500.0,5.823908740944319,weak_or_moderate
CHEMBL523200,1,1500.0,1500.0,1500.0,5.823908740944319,weak_or_moderate
CHEMBL1364018,1,1510.0,1510.0,1510.0,5.821023052706831,weak_or_moderate
CHEMBL1576582,1,1510.0,1510.0,1510.0,5.821023052706831,weak_or_moderate
CHEMBL1579903,1,1510.0,1510.0,1510.0,5.821023052706831,weak_or_moderate
CHEMBL1707641,1,1510.0,1510.0,1510.0,5.821023052706831,weak_or_moderate
CHEMBL586031,1,1510.0,1510.0,1510.0,5.821023052706831,weak_or_moderate
CHEMBL1330963,1,1530.0,1530.0,1530.0,5.815308569182401,weak_or_moderate
CHEMBL1600294,1,1530.0,1530.0,1530.0,5.815308569182401,weak_or_moderate
CHEMBL3190845,1,1530.0,1530.0,1530.0,5.815308569182401,weak_or_moderate
CHEMBL3192957,2,1670.0,1020.0,2320.0,5.812955921673591,weak_or_moderate
CHEMBL1313555,1,1540.0,1540.0,1540.0,5.8124792791635365,weak_or_moderate
CHEMBL1326624,1,1540.0,1540.0,1540.0,5.8124792791635365,weak_or_moderate
CHEMBL3211571,1,1540.0,1540.0,1540.0,5.8124792791635365,weak_or_moderate
CHEMBL1324640,1,1550.0,1550.0,1550.0,5.809668301829708,weak_or_moderate
CHEMBL1351412,1,1550.0,1550.0,1550.0,5.809668301829708,weak_or_moderate
CHEMBL1401259,1,1560.0,1560.0,1560.0,5.806875401645538,weak_or_moderate
CHEMBL1428166,1,1570.0,1570.0,1570.0,5.804100347590767,weak_or_moderate
CHEMBL463175,1,1570.0,1570.0,1570.0,5.804100347590767,weak_or_moderate
CHEMBL1467905,1,1580.0,1580.0,1580.0,5.801342913045577,weak_or_moderate
CHEMBL1580896,1,1580.0,1580.0,1580.0,5.801342913045577,weak_or_moderate
CHEMBL3199424,1,1580.0,1580.0,1580.0,5.801342913045577,weak_or_moderate
CHEMBL1390880,1,1590.0,1590.0,1590.0,5.798602875679549,weak_or_moderate
CHEMBL1584006,1,1590.0,1590.0,1590.0,5.798602875679549,weak_or_moderate
CHEMBL460366,1,1590.0,1590.0,1590.0,5.798602875679549,weak_or_moderate
CHEMBL1454680,1,1600.0,1600.0,1600.0,5.795880017344075,weak_or_moderate
CHEMBL1498652,1,1600.0,1600.0,1600.0,5.795880017344075,weak_or_moderate
CHEMBL3196767,2,1610.0,1510.0,1710.0,5.794013471157339,weak_or_moderate
CHEMBL1430291,1,1610.0,1610.0,1610.0,5.79317412396815,weak_or_moderate
CHEMBL1434250,1,1610.0,1610.0,1610.0,5.79317412396815,weak_or_moderate
CHEMBL1566496,1,1630.0,1630.0,1630.0,5.787812395596042,weak_or_moderate
CHEMBL1378877,1,1640.0,1640.0,1640.0,5.785156151952302,weak_or_moderate
CHEMBL1493944,1,1640.0,1640.0,1640.0,5.785156151952302,weak_or_moderate
CHEMBL1379048,1,1650.0,1650.0,1650.0,5.782516055786093,weak_or_moderate
CHEMBL1344292,1,1660.0,1660.0,1660.0,5.779891911959945,weak_or_moderate
CHEMBL1345979,1,1660.0,1660.0,1660.0,5.779891911959945,weak_or_moderate
CHEMBL1344806,1,1670.0,1670.0,1670.0,5.777283528852417,weak_or_moderate
CHEMBL1384581,1,1670.0,1670.0,1670.0,5.777283528852417,weak_or_moderate
CHEMBL1536089,1,1670.0,1670.0,1670.0,5.777283528852417,weak_or_moderate
CHEMBL1590402,1,1670.0,1670.0,1670.0,5.777283528852417,weak_or_moderate
CHEMBL1536606,1,1690.0,1690.0,1690.0,5.772113295386326,weak_or_moderate
CHEMBL1702692,1,1700.0,1700.0,1700.0,5.769551078621726,weak_or_moderate
CHEMBL1493256,1,1710.0,1710.0,1710.0,5.767003889607846,weak_or_moderate
CHEMBL1540021,1,1710.0,1710.0,1710.0,5.767003889607846,weak_or_moderate
CHEMBL1572924,1,1710.0,1710.0,1710.0,5.767003889607846,weak_or_moderate
CHEMBL3145133,1,1710.0,1710.0,1710.0,5.767003889607846,weak_or_moderate
CHEMBL3192741,1,1730.0,1730.0,1730.0,5.761953896871205,weak_or_moderate
CHEMBL1603885,1,1740.0,1740.0,1740.0,5.7594507517174005,weak_or_moderate
CHEMBL1496552,1,1750.0,1750.0,1750.0,5.756961951313706,weak_or_moderate
CHEMBL1528469,1,1750.0,1750.0,1750.0,5.756961951313706,weak_or_moderate
CHEMBL1470483,1,1760.0,1760.0,1760.0,5.75448733218585,weak_or_moderate
CHEMBL1301125,1,1770.0,1770.0,1770.0,5.752026733638193,weak_or_moderate
CHEMBL1526076,1,1770.0,1770.0,1770.0,5.752026733638193,weak_or_moderate
CHEMBL1572480,1,1770.0,1770.0,1770.0,5.752026733638193,weak_or_moderate
CHEMBL1585390,1,1770.0,1770.0,1770.0,5.752026733638193,weak_or_moderate
CHEMBL166209,1,1770.0,1770.0,1770.0,5.752026733638193,weak_or_moderate
CHEMBL1606736,1,1780.0,1780.0,1780.0,5.7495799976911055,weak_or_moderate
CHEMBL1531735,1,1790.0,1790.0,1790.0,5.747146969020107,weak_or_moderate
CHEMBL1299407,1,1800.0,1800.0,1800.0,5.7447274948966935,weak_or_moderate
CHEMBL1363249,1,1800.0,1800.0,1800.0,5.7447274948966935,weak_or_moderate
CHEMBL1402954,1,1800.0,1800.0,1800.0,5.7447274948966935,weak_or_moderate
CHEMBL3210545,1,1800.0,1800.0,1800.0,5.7447274948966935,weak_or_moderate
CHEMBL1382553,1,1810.0,1810.0,1810.0,5.7423214251308154,weak_or_moderate
CHEMBL1535546,1,1810.0,1810.0,1810.0,5.7423214251308154,weak_or_moderate
CHEMBL1568433,1,1810.0,1810.0,1810.0,5.7423214251308154,weak_or_moderate
CHEMBL1611843,1,1810.0,1810.0,1810.0,5.7423214251308154,weak_or_moderate
CHEMBL1307050,1,1820.0,1820.0,1820.0,5.739928612014925,weak_or_moderate
CHEMBL1384089,1,1820.0,1820.0,1820.0,5.739928612014925,weak_or_moderate
CHEMBL1384253,1,1820.0,1820.0,1820.0,5.739928612014925,weak_or_moderate
CHEMBL1447473,1,1820.0,1820.0,1820.0,5.739928612014925,weak_or_moderate
CHEMBL1504810,1,1820.0,1820.0,1820.0,5.739928612014925,weak_or_moderate
CHEMBL1310221,1,1830.0,1830.0,1830.0,5.73754891026957,weak_or_moderate
CHEMBL1459167,1,1830.0,1830.0,1830.0,5.73754891026957,weak_or_moderate
CHEMBL1481347,1,1830.0,1830.0,1830.0,5.73754891026957,weak_or_moderate
CHEMBL1588411,1,1850.0,1850.0,1850.0,5.732828271596986,weak_or_moderate
CHEMBL3193450,1,1850.0,1850.0,1850.0,5.732828271596986,weak_or_moderate
CHEMBL1304066,1,1880.0,1880.0,1880.0,5.72584215073632,weak_or_moderate
CHEMBL1387692,1,1880.0,1880.0,1880.0,5.72584215073632,weak_or_moderate
CHEMBL1540330,1,1890.0,1890.0,1890.0,5.723538195826755,weak_or_moderate
CHEMBL1374665,1,1900.0,1900.0,1900.0,5.721246399047171,weak_or_moderate
CHEMBL1402456,1,1900.0,1900.0,1900.0,5.721246399047171,weak_or_moderate
CHEMBL1455522,1,1900.0,1900.0,1900.0,5.721246399047171,weak_or_moderate
CHEMBL1352444,1,1910.0,1910.0,1910.0,5.718966632752272,weak_or_moderate
CHEMBL3144858,1,1910.0,1910.0,1910.0,5.718966632752272,weak_or_moderate
CHEMBL1547116,1,1920.0,1920.0,1920.0,5.71669877129645,weak_or_moderate
CHEMBL3145026,1,1920.0,1920.0,1920.0,5.71669877129645,weak_or_moderate
CHEMBL1341762,1,1930.0,1930.0,1930.0,5.714442690992226,weak_or_moderate
CHEMBL1549641,1,1930.0,1930.0,1930.0,5.714442690992226,weak_or_moderate
CHEMBL1347369,1,1940.0,1940.0,1940.0,5.7121982700697735,weak_or_moderate
CHEMBL1414479,1,1940.0,1940.0,1940.0,5.7121982700697735,weak_or_moderate
CHEMBL1559810,1,1940.0,1940.0,1940.0,5.7121982700697735,weak_or_moderate
CHEMBL1567571,1,1940.0,1940.0,1940.0,5.7121982700697735,weak_or_moderate
CHEMBL3212615,1,1940.0,1940.0,1940.0,5.7121982700697735,weak_or_moderate
CHEMBL1345195,1,1950.0,1950.0,1950.0,5.709965388637482,weak_or_moderate
CHEMBL1570497,1,1950.0,1950.0,1950.0,5.709965388637482,weak_or_moderate
CHEMBL1483252,1,1960.0,1960.0,1960.0,5.707743928643524,weak_or_moderate
CHEMBL1430882,1,1970.0,1970.0,1970.0,5.7055337738384075,weak_or_moderate
CHEMBL1478634,1,1970.0,1970.0,1970.0,5.7055337738384075,weak_or_moderate
CHEMBL1404559,1,1980.0,1980.0,1980.0,5.703334809738469,weak_or_moderate
CHEMBL1518895,1,1980.0,1980.0,1980.0,5.703334809738469,weak_or_moderate
CHEMBL1706657,1,1990.0,1990.0,1990.0,5.701146923590294,weak_or_moderate
CHEMBL1719459,1,1990.0,1990.0,1990.0,5.701146923590294,weak_or_moderate
CHEMBL1979747,1,1990.0,1990.0,1990.0,5.701146923590294,weak_or_moderate
CHEMBL3195106,1,1990.0,1990.0,1990.0,5.701146923590294,weak_or_moderate
CHEMBL1305642,1,2010.0,2010.0,2010.0,5.696803942579511,weak_or_moderate
CHEMBL1507776,1,2010.0,2010.0,2010.0,5.696803942579511,weak_or_moderate
CHEMBL1538410,1,2010.0,2010.0,2010.0,5.696803942579511,weak_or_moderate
CHEMBL1339794,1,2020.0,2020.0,2020.0,5.694648630553376,weak_or_moderate
CHEMBL1491019,1,2020.0,2020.0,2020.0,5.694648630553376,weak_or_moderate
CHEMBL3145078,1,2020.0,2020.0,2020.0,5.694648630553376,weak_or_moderate
CHEMBL1352007,1,2030.0,2030.0,2030.0,5.692503962086787,weak_or_moderate
CHEMBL1443448,1,2030.0,2030.0,2030.0,5.692503962086787,weak_or_moderate
CHEMBL1466516,1,2040.0,2040.0,2040.0,5.690369832574101,weak_or_moderate
CHEMBL1581068,1,2040.0,2040.0,2040.0,5.690369832574101,weak_or_moderate
CHEMBL1484906,1,2060.0,2060.0,2060.0,5.686132779630847,weak_or_moderate
CHEMBL604321,1,2060.0,2060.0,2060.0,5.686132779630847,weak_or_moderate
CHEMBL1546213,1,2070.0,2070.0,2070.0,5.684029654543082,weak_or_moderate
CHEMBL1489956,1,2080.0,2080.0,2080.0,5.681936665037238,weak_or_moderate
CHEMBL1548704,1,2080.0,2080.0,2080.0,5.681936665037238,weak_or_moderate
CHEMBL1334552,1,2090.0,2090.0,2090.0,5.679853713888946,weak_or_moderate
CHEMBL1525505,1,2110.0,2110.0,2110.0,5.675717544702307,weak_or_moderate
CHEMBL1541950,1,2110.0,2110.0,2110.0,5.675717544702307,weak_or_moderate
CHEMBL1349651,1,2130.0,2130.0,2130.0,5.671620396561263,weak_or_moderate
CHEMBL1456225,1,2130.0,2130.0,2130.0,5.671620396561263,weak_or_moderate
CHEMBL1987742,1,2130.0,2130.0,2130.0,5.671620396561263,weak_or_moderate
CHEMBL1700040,1,2140.0,2140.0,2140.0,5.669586226650809,weak_or_moderate
CHEMBL1383240,1,2150.0,2150.0,2150.0,5.667561540084394,weak_or_moderate
CHEMBL1505544,1,2160.0,2160.0,2160.0,5.665546248849069,weak_or_moderate
CHEMBL1611106,1,2160.0,2160.0,2160.0,5.665546248849069,weak_or_moderate
CHEMBL1308783,1,2170.0,2170.0,2170.0,5.66354026615147,weak_or_moderate
CHEMBL1433075,1,2170.0,2170.0,2170.0,5.66354026615147,weak_or_moderate
CHEMBL1335953,1,2180.0,2180.0,2180.0,5.661543506395395,weak_or_moderate
CHEMBL1571875,1,2180.0,2180.0,2180.0,5.661543506395395,weak_or_moderate
CHEMBL1375884,1,2190.0,2190.0,2190.0,5.6595558851598815,weak_or_moderate
CHEMBL578905,1,2210.0,2210.0,2210.0,5.655607726314889,weak_or_moderate
CHEMBL1271764,1,2220.0,2220.0,2220.0,5.653647025549361,weak_or_moderate
CHEMBL1463885,1,2220.0,2220.0,2220.0,5.653647025549361,weak_or_moderate
CHEMBL1521427,1,2220.0,2220.0,2220.0,5.653647025549361,weak_or_moderate
CHEMBL1549114,1,2220.0,2220.0,2220.0,5.653647025549361,weak_or_moderate
CHEMBL1435915,1,2230.0,2230.0,2230.0,5.651695136951839,weak_or_moderate
CHEMBL1460342,1,2230.0,2230.0,2230.0,5.651695136951839,weak_or_moderate
CHEMBL3145033,1,2230.0,2230.0,2230.0,5.651695136951839,weak_or_moderate
CHEMBL1344573,1,2250.0,2250.0,2250.0,5.647817481888637,weak_or_moderate
CHEMBL3144830,1,2250.0,2250.0,2250.0,5.647817481888637,weak_or_moderate
CHEMBL3145071,1,2250.0,2250.0,2250.0,5.647817481888637,weak_or_moderate
CHEMBL3196491,1,2250.0,2250.0,2250.0,5.647817481888637,weak_or_moderate
CHEMBL1415772,1,2260.0,2260.0,2260.0,5.645891560852599,weak_or_moderate
CHEMBL1546217,1,2260.0,2260.0,2260.0,5.645891560852599,weak_or_moderate
CHEMBL1597748,1,2260.0,2260.0,2260.0,5.645891560852599,weak_or_moderate
CHEMBL600175,1,2260.0,2260.0,2260.0,5.645891560852599,weak_or_moderate
CHEMBL1399536,1,2280.0,2280.0,2280.0,5.642065152999546,weak_or_moderate
CHEMBL1420488,1,2280.0,2280.0,2280.0,5.642065152999546,weak_or_moderate
CHEMBL1519108,1,2280.0,2280.0,2280.0,5.642065152999546,weak_or_moderate
CHEMBL1347897,1,2300.0,2300.0,2300.0,5.638272163982407,weak_or_moderate
CHEMBL1336010,1,2310.0,2310.0,2310.0,5.636388020107855,weak_or_moderate
CHEMBL1382562,1,2310.0,2310.0,2310.0,5.636388020107855,weak_or_moderate
CHEMBL1574609,1,2330.0,2330.0,2330.0,5.632644078973981,weak_or_moderate
CHEMBL1464786,1,2340.0,2340.0,2340.0,5.630784142589857,weak_or_moderate
CHEMBL3194086,1,2340.0,2340.0,2340.0,5.630784142589857,weak_or_moderate
CHEMBL1345808,1,2350.0,2350.0,2350.0,5.628932137728263,weak_or_moderate
CHEMBL1391217,1,2360.0,2360.0,2360.0,5.627087997029893,weak_or_moderate
CHEMBL1448321,1,2360.0,2360.0,2360.0,5.627087997029893,weak_or_moderate
CHEMBL1970242,1,2360.0,2360.0,2360.0,5.627087997029893,weak_or_moderate
CHEMBL3210650,1,2360.0,2360.0,2360.0,5.627087997029893,weak_or_moderate
CHEMBL1497838,1,2370.0,2370.0,2370.0,5.625251653989896,weak_or_moderate
CHEMBL1571825,1,2370.0,2370.0,2370.0,5.625251653989896,weak_or_moderate
CHEMBL1402869,1,2380.0,2380.0,2380.0,5.623423042943488,weak_or_moderate
CHEMBL1420007,1,2380.0,2380.0,2380.0,5.623423042943488,weak_or_moderate
CHEMBL1485159,1,2380.0,2380.0,2380.0,5.623423042943488,weak_or_moderate
CHEMBL1313206,1,2390.0,2390.0,2390.0,5.621602099051863,weak_or_moderate
CHEMBL1458150,1,2390.0,2390.0,2390.0,5.621602099051863,weak_or_moderate
CHEMBL1564699,1,2390.0,2390.0,2390.0,5.621602099051863,weak_or_moderate
CHEMBL1443679,1,2400.0,2400.0,2400.0,5.619788758288394,weak_or_moderate
CHEMBL1347334,1,2410.0,2410.0,2410.0,5.617982957425132,weak_or_moderate
CHEMBL1378952,1,2420.0,2420.0,2420.0,5.616184634019569,weak_or_moderate
CHEMBL1485746,1,2420.0,2420.0,2420.0,5.616184634019569,weak_or_moderate
CHEMBL3144828,1,2420.0,2420.0,2420.0,5.616184634019569,weak_or_moderate
CHEMBL1300967,1,2440.0,2440.0,2440.0,5.61261017366127,weak_or_moderate
CHEMBL1392791,1,2440.0,2440.0,2440.0,5.61261017366127,weak_or_moderate
CHEMBL3212445,1,2440.0,2440.0,2440.0,5.61261017366127,weak_or_moderate
CHEMBL1371353,1,2450.0,2450.0,2450.0,5.610833915635467,weak_or_moderate
CHEMBL1392532,1,2450.0,2450.0,2450.0,5.610833915635467,weak_or_moderate
CHEMBL1976304,1,2450.0,2450.0,2450.0,5.610833915635467,weak_or_moderate
CHEMBL1369737,1,2460.0,2460.0,2460.0,5.609064892896621,weak_or_moderate
CHEMBL1610049,1,2460.0,2460.0,2460.0,5.609064892896621,weak_or_moderate
CHEMBL1374351,1,2470.0,2470.0,2470.0,5.607303046740334,weak_or_moderate
CHEMBL2001831,1,2480.0,2480.0,2480.0,5.605548319173783,weak_or_moderate
CHEMBL1328712,1,2490.0,2490.0,2490.0,5.603800652904264,weak_or_moderate
CHEMBL1365696,1,2500.0,2500.0,2500.0,5.6020599913279625,weak_or_moderate
CHEMBL1549691,1,2500.0,2500.0,2500.0,5.6020599913279625,weak_or_moderate
CHEMBL1566134,1,2500.0,2500.0,2500.0,5.6020599913279625,weak_or_moderate
CHEMBL1313900,1,2510.0,2510.0,2510.0,5.600326278518962,weak_or_moderate
CHEMBL3145116,1,2510.0,2510.0,2510.0,5.600326278518962,weak_or_moderate
CHEMBL1346883,1,2520.0,2520.0,2520.0,5.598599459218455,weak_or_moderate
CHEMBL1432590,1,2520.0,2520.0,2520.0,5.598599459218455,weak_or_moderate
CHEMBL345635,1,2520.0,2520.0,2520.0,5.598599459218455,weak_or_moderate
CHEMBL1472154,1,2540.0,2540.0,2540.0,5.5951662833800615,weak_or_moderate
CHEMBL1546947,1,2560.0,2560.0,2560.0,5.59176003468815,weak_or_moderate
CHEMBL1521393,1,2570.0,2570.0,2570.0,5.590066876668706,weak_or_moderate
CHEMBL1536196,1,2570.0,2570.0,2570.0,5.590066876668706,weak_or_moderate
CHEMBL1422763,1,2590.0,2590.0,2590.0,5.586700235918748,weak_or_moderate
CHEMBL1430449,1,2590.0,2590.0,2590.0,5.586700235918748,weak_or_moderate
CHEMBL1541259,1,2590.0,2590.0,2590.0,5.586700235918748,weak_or_moderate
CHEMBL1573221,1,2590.0,2590.0,2590.0,5.586700235918748,weak_or_moderate
CHEMBL1547143,1,2600.0,2600.0,2600.0,5.585026652029182,weak_or_moderate
CHEMBL1370899,1,2610.0,2610.0,2610.0,5.583359492661719,weak_or_moderate
CHEMBL1401582,1,2610.0,2610.0,2610.0,5.583359492661719,weak_or_moderate
CHEMBL3145021,1,2610.0,2610.0,2610.0,5.583359492661719,weak_or_moderate
CHEMBL1517746,1,2620.0,2620.0,2620.0,5.581698708680255,weak_or_moderate
CHEMBL1323439,1,2630.0,2630.0,2630.0,5.580044251510242,weak_or_moderate
CHEMBL1332543,1,2640.0,2640.0,2640.0,5.578396073130168,weak_or_moderate
CHEMBL1567402,1,2640.0,2640.0,2640.0,5.578396073130168,weak_or_moderate
CHEMBL1391614,1,2650.0,2650.0,2650.0,5.576754126063192,weak_or_moderate
CHEMBL1494363,1,2650.0,2650.0,2650.0,5.576754126063192,weak_or_moderate
CHEMBL1309228,1,2660.0,2660.0,2660.0,5.575118363368933,weak_or_moderate
CHEMBL1310302,1,2660.0,2660.0,2660.0,5.575118363368933,weak_or_moderate
CHEMBL1584739,1,2670.0,2670.0,2670.0,5.573488738635424,weak_or_moderate
CHEMBL373839,1,2670.0,2670.0,2670.0,5.573488738635424,weak_or_moderate
CHEMBL572189,1,2670.0,2670.0,2670.0,5.573488738635424,weak_or_moderate
CHEMBL1400638,1,2690.0,2690.0,2690.0,5.570247719997592,weak_or_moderate
CHEMBL1560229,1,2700.0,2700.0,2700.0,5.568636235841012,weak_or_moderate
CHEMBL1309232,1,2710.0,2710.0,2710.0,5.567030709125595,weak_or_moderate
CHEMBL1326349,1,2710.0,2710.0,2710.0,5.567030709125595,weak_or_moderate
CHEMBL1556750,1,2710.0,2710.0,2710.0,5.567030709125595,weak_or_moderate
CHEMBL1529127,1,2720.0,2720.0,2720.0,5.565431095965801,weak_or_moderate
CHEMBL1557914,1,2720.0,2720.0,2720.0,5.565431095965801,weak_or_moderate
CHEMBL1324556,1,2730.0,2730.0,2730.0,5.5638373529592435,weak_or_moderate
CHEMBL1431075,1,2730.0,2730.0,2730.0,5.5638373529592435,weak_or_moderate
CHEMBL3207693,1,2730.0,2730.0,2730.0,5.5638373529592435,weak_or_moderate
CHEMBL1506031,1,2760.0,2760.0,2760.0,5.559090917934782,weak_or_moderate
CHEMBL1573586,1,2760.0,2760.0,2760.0,5.559090917934782,weak_or_moderate
CHEMBL2094422,1,2760.0,2760.0,2760.0,5.559090917934782,weak_or_moderate
CHEMBL1449008,1,2770.0,2770.0,2770.0,5.557520230935552,weak_or_moderate
CHEMBL1501680,1,2770.0,2770.0,2770.0,5.557520230935552,weak_or_moderate
CHEMBL1588697,1,2770.0,2770.0,2770.0,5.557520230935552,weak_or_moderate
CHEMBL1527129,1,2780.0,2780.0,2780.0,5.555955204081924,weak_or_moderate
CHEMBL1307096,1,2790.0,2790.0,2790.0,5.554395796726403,weak_or_moderate
CHEMBL1369655,1,2790.0,2790.0,2790.0,5.554395796726403,weak_or_moderate
CHEMBL1377005,1,2790.0,2790.0,2790.0,5.554395796726403,weak_or_moderate
CHEMBL1477528,1,2790.0,2790.0,2790.0,5.554395796726403,weak_or_moderate
CHEMBL1499853,1,2790.0,2790.0,2790.0,5.554395796726403,weak_or_moderate
CHEMBL1400449,1,2800.0,2800.0,2800.0,5.552841968657781,weak_or_moderate
CHEMBL1366252,1,2810.0,2810.0,2810.0,5.55129368009492,weak_or_moderate
CHEMBL1369862,1,2810.0,2810.0,2810.0,5.55129368009492,weak_or_moderate
CHEMBL1382760,1,2820.0,2820.0,2820.0,5.549750891680639,weak_or_moderate
CHEMBL1402422,1,2820.0,2820.0,2820.0,5.549750891680639,weak_or_moderate
CHEMBL1351794,1,2830.0,2830.0,2830.0,5.548213564475709,weak_or_moderate
CHEMBL1523567,1,2830.0,2830.0,2830.0,5.548213564475709,weak_or_moderate
CHEMBL1794088,1,2830.0,2830.0,2830.0,5.548213564475709,weak_or_moderate
CHEMBL1385073,1,2850.0,2850.0,2850.0,5.54515513999149,weak_or_moderate
CHEMBL1595403,1,2850.0,2850.0,2850.0,5.54515513999149,weak_or_moderate
CHEMBL1544876,1,2860.0,2860.0,2860.0,5.543633966870956,weak_or_moderate
CHEMBL1727447,1,2860.0,2860.0,2860.0,5.543633966870956,weak_or_moderate
CHEMBL1331111,1,2880.0,2880.0,2880.0,5.5406075122407685,weak_or_moderate
CHEMBL1353816,1,2880.0,2880.0,2880.0,5.5406075122407685,weak_or_moderate
CHEMBL1602856,1,2880.0,2880.0,2880.0,5.5406075122407685,weak_or_moderate
CHEMBL1429537,1,2890.0,2890.0,2890.0,5.539102157243452,weak_or_moderate
CHEMBL1533621,1,2890.0,2890.0,2890.0,5.539102157243452,weak_or_moderate
CHEMBL1533676,1,2890.0,2890.0,2890.0,5.539102157243452,weak_or_moderate
CHEMBL1707500,1,2890.0,2890.0,2890.0,5.539102157243452,weak_or_moderate
CHEMBL1462950,1,2900.0,2900.0,2900.0,5.537602002101044,weak_or_moderate
CHEMBL1337500,1,2920.0,2920.0,2920.0,5.534617148551582,weak_or_moderate
CHEMBL1348016,1,2930.0,2930.0,2930.0,5.53313237964589,weak_or_moderate
CHEMBL1304384,1,2950.0,2950.0,2950.0,5.530177984021837,weak_or_moderate
CHEMBL1546205,1,2950.0,2950.0,2950.0,5.530177984021837,weak_or_moderate
CHEMBL1581795,1,2950.0,2950.0,2950.0,5.530177984021837,weak_or_moderate
CHEMBL290916,1,2950.0,2950.0,2950.0,5.530177984021837,weak_or_moderate
CHEMBL1425874,1,2960.0,2960.0,2960.0,5.528708288941061,weak_or_moderate
CHEMBL1565623,1,2970.0,2970.0,2970.0,5.527243550682788,weak_or_moderate
